Código,Descrição,Unidade medida,CPC,Seção,Divisão,Grupo,Classe,Subclasse
19,"Estudos e Projetos Viabilidade Técnico - Econômica  de  Aproveitamento Hidrelétrico                                     ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
27,"Estudos e Projetos de Viabilidade Técnico - Econômica de Usinas Termoelétricas / Termonucleares /Solar Fotovotaica      ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
35,"Estudos e Projetos de Viabilidade Técnico - Econômica de Unidades Industriais                                           ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
43,"Estudos e Projetos Viabilidade Técnico - Econômica de  Recursos Naturais                                                ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
51,"Estudos e Projetos Urbanísticos / Paisagísticos / Arquitetô-nicos                                                       ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
60,"Estudos e Projetos de Assentamento Populacional                                                                         ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
78,"Estudos e Projetos de Arquitetura                                                                                       ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
86,"Estudos e Projetos de Meio Ambiente - Plano Diretor                                                                     ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
94,"Estudos e Projetos de Meio Ambiente - Avaliação e Elaboraçãodo Relatório de Impacto                                     ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
108,"Estudos e Projetos de Meio Ambiente - Confiabilidade e Análise de Risco                                                 ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
116,"Estudos e Projetos de Meio Ambiente Físico                                                                              ",UN,8319,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ","8319: OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  ",
1244,"Desenvolvimento e Nacionalização de Produtos                                                                            ",UN,979,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ",,
1252,"Subaquático (Mergulho)                                                                                                  ",UN,979,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ",,
1260,"Informática - Manutenção/Instalação Sistemas/Periféricos                                                                ",UN,8713,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ","8713: SERVIÇOS DE MANUTENÇÃO,REPARO E ATENÇÃO AO EQUIPAMENTO DE INFORMÁTICA                                                   ",
1279,"Informática - Programas Fechados (Software)                                                                             ",UN,7331,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","733: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE ATIVOS NÃO-FINAN-CEIROS INTANGÍVEIS                                          ","7331: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE SOFTWARE                                                                     ",
1287,"Informática - Serviço de Bureau                                                                                         ",UN,8399,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","839: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","8399: TODOS OS OUTROS SERVIÇOS DE NEGÓCIOS TÉCNICOS E PROFISSIONAIS                                                           ",
1295,"Informática - Administração e Operação em Processamento   deDados                                                       ",UN,8399,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","839: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","8399: TODOS OS OUTROS SERVIÇOS DE NEGÓCIOS TÉCNICOS E PROFISSIONAIS                                                           ",
1309,"Regeneração de Lubrificantes                                                                                            ",UN,979,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ",,
1317,"Regeneração de Óleo Isolante                                                                                            ",UN,979,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ",,
1325,"Recuperação de Óleo Isolante                                                                                            ",UN,979,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ",,
1333,"Incineração / Aterramento - Resíduos Industriais / Lixo Especial                                                        ",UN,9421,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","94: SERVIÇOS DE REDE DE ESGOTOS E REJEITOS,SANEAMENTO E OUTROS  SERVIÇOS DE PROTEÇÃO AMBIENTAL                              ","942: SERVIÇOS DE ELIMINAÇÃO DE REJEITOS                                                                                      ","9421: SERVIÇOS DE COLETA,TRATAMENTO E ELIMINAÇÃO DE RESÍDUOS NÃO  PERIGOSOS                                                   ",
1341,"Supervisão / Gerenciamento / Fiscalização - Projeto Constru-ção / Obras Civis                                           ",UN,83352,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","833: SERVIÇOS DE ENGENHARIA                                                                                                  ","8335: SERVIÇOS DE ENGENHARIA DURANTE A FASE DE CONSTRUÇÃO E DE INSTALAÇÃO                                                     ","83352: SERVIÇOS DE ENGENHARIA DURANTE A FASE DE CONSTRUÇÃO E DE INSTALAÇÃO DE OBRAS DE ENGENHARIA CIVIL                        "
1350,"Obras Civis de Parques e Praças                                                                                         ",UN,547,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","547: SERVIÇO DE ACABAMENTO E FINALIZAÇÃO DOS EDIFÍCIOS                                                                       ",,
1368,"Obras Civis de Reflorestamento                                                                                          ",UN,5459,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","545: TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO                                                                               ","5459: OUTROS TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO                                                                        ",
1376,"Obras Civis Execução de Desmatamento                                                                                    ",UN,5459,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","545: TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO                                                                               ","5459: OUTROS TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO                                                                        ",
3140,"Manutenção de Vias Férreas (Via Permanente)                                                                             ",UN,872,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","872: SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       ",,
3158,"Manutenção e Reparo em Industria Naval                                                                                  ",UN,872,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","872: SERVIÇOS DE REPARO DE OUTROS BENS                                                                                       ",,
3166,"Manutenção de Turbinas Hidráulicas / Termelétrica                                                                       ",UN,871,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","87: SERVIÇOS DE MANUTENÇÃO,REPARO E INSTALAÇÃO(EXCETO DA CONSTRUÇÃO)                                                        ","871: SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS                               ",,
3174,"Transporte Aéreo por Helicóptero / Avião                                                                                ",UN,661,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","66: SERVIÇOS DE TRANSPORTE AÉREO                                                                                            ","661: SERVIÇOS DE TRANSPORTE AÉREO DE PASSAGEIROS                                                                             ",,
3182,"Transporte Marítimo e Fluvial de Pessoal / Carga                                                                        ",UN,6512,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","65: SERVIÇOS DE TRANSPORTE AQUÁTICO                                                                                         ","651: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO                                                                ","6512: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO DE CARGA                                                       ",
3190,"Transporte Marítimo e Fluvial de Carga Líquida                                                                          ",UN,6512,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","65: SERVIÇOS DE TRANSPORTE AQUÁTICO                                                                                         ","651: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO                                                                ","6512: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO DE CARGA                                                       ",
3204,"Transporte Marítimo e Fluvial de Carga Seca                                                                             ",UN,6512,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","65: SERVIÇOS DE TRANSPORTE AQUÁTICO                                                                                         ","651: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO                                                                ","6512: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO DE CARGA                                                       ",
3212,"Transporte de Mudança - Local                                                                                           ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3220,"Transporte de Mudança - Interestadual                                                                                   ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3239,"Transporte Rodoviário - Pessoal por Automóveis                                                                          ",UN,6431,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6431: SERVIÇOS REGULAR/PROGRAMADO DE TRANSPORTE RODOVIÁRIO DE PAS-SAGEIROS                                                    ",
3247,"Transporte Rodoviário - Pessoal por Camionetas e Utilitários                                                            ",,,,,,,
3255,"Transporte Rodoviário - Pessoal por Coletivos "" Inativo ""                                                               ",UN,97990,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ","9799: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA N.C.P                                                                               ","97990: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA N.C.P                                                                               "
3263,"Transporte Rodoviário - Cargas / Encomendas                                                                             ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3271,"Transporte Rodoviário Valores                                                                                           ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3280,"Transporte Rodoviário - Materiais Embalados, Soltos e a Gra-nel                                                         ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3298,"Transporte Rodoviário - Produtos Siderúrgicos                                                                           ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3301,"Transporte Rodoviário - Granéis Líquidos                                                                                ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3999,"Limpeza e Conservação Predial ""Inativo""                                                                                 ",UN,97990,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ","9799: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA N.C.P                                                                               ","97990: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA N.C.P                                                                               "
4006,"Locação de computadores / Periféricos                                                                                   ",UN,7327,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ","7327: SERVIÇOS DE LEASING OU ALUGUEL DE MAQUINARIA E EQUIPAMENTOS DE ARTESANATO                                               ",
4014,"Locação de Veículos - Leves / Pesados                                                                                   ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4022,"Locação de Veículos - Pesados                                                                                           ",D MÊS,7329,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ","7329: SERVIÇOS DE LEASING OU ALUGUEL DE OUTROS BENS N.C.P.                                                                    ",
4030,"Locação de Máquinas de Escavação / Terraplenagem / Agrícola                                                             ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4049,"Locação Equipamento Elevação / Movimentação de Carga                                                                    ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4057,"Locação de Andaimes                                                                                                     ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4065,"Locação de Equipamentos de Telecomunicações                                                                             ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4073,"Comercialização / Locação - Máquinas de Reprografia                                                                     ",,,,,,,
4081,"Prestação de Serviços Temporários                                                                                       ",UN,851,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","85: SERVIÇOS DE SUPORTE                                                                                                     ","851: SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL                                                              ",,
4090,"Locação de Máquinas de Escrever e Calcular                                                                              ",UN,731,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","731: SERVIÇOS DE LEASING OU ALUGUEL DE MAQUINARIA E EQUIPAMENTOS SEM OPERADOR                                                ",,
4103,"Consultoria / Assessoria - Logística                                                                                    ",UN,831,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ",,
4111,"Informática - Disquete Formatado (Software)                                                                             ",UN,73310,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","733: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE ATIVOS NÃO-FINAN-CEIROS INTANGÍVEIS                                          ","7331: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE SOFTWARE                                                                     ","73310: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE SOFTWARE                                                                     "
4596,"Instalação e Montagem de Energia Elétrica Até 60kv                                                                      ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4600,"Instalação e Montagem de Subestações de Energia Elétrica até138kv                                                       ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4618,"Instalação e Montagem de Subestações de Energia Elétrica até230kv                                                       ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4626,"Instalação e Montagem de Subestações de Energia Elétrica até500kv                                                       ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4634,"Instalação e Montagem de Subestações de Energia Elétrica Acima de 500kv                                                 ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4642,"Instalação e Montagem de  Subestações  de  Energia  ElétricaBlindadas                                                   ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4650,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 690kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4669,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 138kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4677,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 230kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4685,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 500kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
